,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
3509,Tulancingo,Tulancingo,20.0833,-98.3667,Mexico,MX,MEX,Hidalgo,minor,151582.0,1484419416
3535,Zamora,Zamora,19.9833,-102.2833,Mexico,MX,MEX,Michoacán de Ocampo,,141627.0,1484229977
3568,Delicias,Delicias,28.1931,-105.4717,Mexico,MX,MEX,Chihuahua,minor,148045.0,1484405772
3577,Kanasín,Kanasin,20.9344,-89.5578,Mexico,MX,MEX,Yucatán,minor,139753.0,1484390572
3588,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,21.1516,-100.9369,Mexico,MX,MEX,Guanajuato,minor,148173.0,1484115665
3632,García,Garcia,25.8167,-100.5833,Mexico,MX,MEX,Nuevo León,minor,145867.0,1484753599
3662,Tuxtepec,Tuxtepec,18.1,-96.1167,Mexico,MX,MEX,Oaxaca,,144555.0,1484448356
3681,Túxpam de Rodríguez Cano,Tuxpam de Rodriguez Cano,20.95,-97.4,Mexico,MX,MEX,Veracruz,minor,143362.0,1484316468
3721,Colima,Colima,19.2433,-103.7247,Mexico,MX,MEX,Colima,admin,137383.0,1484585697
3726,Tepatitlán de Morelos,Tepatitlan de Morelos,20.817,-102.733,Mexico,MX,MEX,Jalisco,minor,141322.0,1484777621
3729,Valle de Santiago,Valle de Santiago,20.3928,-101.1969,Mexico,MX,MEX,Guanajuato,minor,141058.0,1484060538
3769,San Miguel de Allende,San Miguel de Allende,20.9142,-100.7436,Mexico,MX,MEX,Guanajuato,minor,139297.0,1484007926
3777,Zacatecas,Zacatecas,22.7736,-102.5736,Mexico,MX,MEX,Zacatecas,admin,138152.0,1484118312
3790,Boca del Rio,Boca del Rio,19.1056,-96.1078,Mexico,MX,MEX,Veracruz,minor,138058.0,1484658980
3815,Santa María Texmelucan,Santa Maria Texmelucan,19.2833,-98.4333,Mexico,MX,MEX,Puebla,,135500.0,1484127851
3838,Zinacantepec,Zinacantepec,19.2833,-99.7333,Mexico,MX,MEX,México,minor,136167.0,1484976252
3883,Heroica Guaymas,Heroica Guaymas,27.9183,-110.8989,Mexico,MX,MEX,Sonora,minor,134153.0,1484689704
3885,Apatzingan de la Constitucion,Apatzingan de la Constitucion,19.0886,-102.3508,Mexico,MX,MEX,Michoacán de Ocampo,,128250.0,1484693242
4059,Miramar,Miramar,22.3375,-97.8694,Mexico,MX,MEX,Tamaulipas,,118614.0,1484353090
4060,Ixtlahuaca,Ixtlahuaca,19.5689,-99.7669,Mexico,MX,MEX,México,minor,126505.0,1484837068
4103,Orizaba,Orizaba,18.85,-97.1,Mexico,MX,MEX,Veracruz,minor,117273.0,1484766767
4104,Ciudad de Atlixco,Ciudad de Atlixco,18.9,-98.45,Mexico,MX,MEX,Puebla,minor,125000.0,1484268457
4145,San Pedro Garza García,San Pedro Garza Garcia,25.6667,-100.3,Mexico,MX,MEX,Nuevo León,minor,122009.0,1484228590
4151,Villa de Álvarez,Villa de Alvarez,19.25,-103.7333,Mexico,MX,MEX,Colima,minor,117600.0,1484653806
4175,Ciudad Hidalgo,Ciudad Hidalgo,19.6923,-100.5574,Mexico,MX,MEX,Michoacán de Ocampo,minor,122619.0,1484580926
4223,Chilapa de Álvarez,Chilapa de Alvarez,17.5944,-99.1778,Mexico,MX,MEX,Guerrero,minor,120790.0,1484562441
4301,Cuautitlán,Cuautitlan,19.6833,-99.1833,Mexico,MX,MEX,México,minor,110385.0,1484256075
